run_id,dataset,model,method,output_protocol,train_labels,dev_labels,budget_per_class,seed,manifest_sha256,accuracy,balanced_accuracy,failure_rate,input_tokens,input_tokens_coverage,input_tokens_known_total,latency_p50_s,latency_p95_s,macro_f1,n_classes,n_failures,n_probability_rows,n_test,output_tokens,output_tokens_coverage,output_tokens_known_total,prediction_time_s,probability_coverage,valid_response_accuracy
sst2__gpt-5.6-luna__31e207fb95d3,sst2,gpt-5.6-luna,zero_shot,label generation,0,0,0,42,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0.925,0.9260704281712685,0.0,16199,1.0,16199,0.9774929165141657,1.681449655914912,0.9249080123150859,2,0,0,200,800,1.0,800,211.312109363731,0.0,0.925
sst2__gpt-5.6-luna__af6e2721cfa0,sst2,gpt-5.6-luna,few_shot,label generation,8,0,4,42,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0.955,0.9556822729091636,0.0,58599,1.0,58599,0.9967530415742658,1.6936587080766896,0.9549898727213624,2,0,0,200,800,1.0,800,225.46081316913478,0.0,0.955
sst2__gpt-6-astra__9279b61f6e7a,sst2,gpt-6-astra,zero_shot,label generation,0,0,0,42,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0.97,0.9703881552621048,0.0,16199,1.0,16199,1.717712104495149,3.0413941166945717,0.97,2,0,0,200,1297,1.0,1297,378.56774158601183,0.0,0.97
sst2__gpt-6-astra__e77320ccd3cf,sst2,gpt-6-astra,few_shot,label generation,8,0,4,42,8c12945f6b673f72452096793b4777a94f2455ea55c51f4dc8c9dba9bb8a8201,0.975,0.9752901160464186,0.0,58599,1.0,58599,1.6884937499999069,2.8555242857779364,0.9749993749843746,2,0,0,200,1105,1.0,1105,372.92666212678887,0.0,0.975
trec__gpt-5.6-luna__0434e88259a6,trec,gpt-5.6-luna,zero_shot,label generation,0,0,0,42,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,0.525,0.5672694386510176,0.0,19435,1.0,19435,0.9807171664433554,1.4187545735272575,0.5591972392458032,6,0,0,200,800,1.0,800,206.1033075794112,0.0,0.525
trec__gpt-5.6-luna__a183fc22ddc8,trec,gpt-5.6-luna,few_shot,label generation,24,0,4,42,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,0.85,0.8750994680270995,0.0,131035,1.0,131035,0.9976483955397271,1.5456819496641394,0.8478504529416527,6,0,0,200,800,1.0,800,216.35725346335676,0.0,0.85
trec__gpt-6-astra__4788a3f7e01d,trec,gpt-6-astra,zero_shot,label generation,0,0,0,42,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,0.97,0.9721932124892652,0.0,19435,1.0,19435,1.7039708960219286,3.5528053188230837,0.958043784330549,6,0,0,200,2010,1.0,2010,404.8706622052705,0.0,0.97
trec__gpt-6-astra__f4c124cbaa8e,trec,gpt-6-astra,few_shot,label generation,24,0,4,42,d44f342fb000a58a037309a667697f2cf9c3720d52437298b5c50cbc239e333a,0.97,0.9730155809103178,0.0,131035,1.0,131035,1.6639978964813054,2.997413874301128,0.9565870928884627,6,0,0,200,920,1.0,920,377.88212596043013,0.0,0.97
